date,time,platform,song,artist,album,concert/festival,spotify_id,spotify_preview_url
9/1/18,8:30 ,n/a,n/a,n/a,n/a,n/a,,
9/1/18,10:00 ,n/a,n/a,n/a,n/a,n/a,,
9/1/18,11:30 ,youtube,getaway,blossoms,blossoms,n/a,spotify:track:28xNkIiTuxsWr4DYld4jno,https://p.scdn.co/mp3-preview/d66e79cbe28a705b3262b4762e6b71d2081a3787?cid=774b29d4f13844c495f206cafdad9c86
9/1/18,13:00 ,youtube,the kids don't wanna come home,declan mckenna,what do you think about the car,n/a,spotify:track:6lj0jgxdeE6wFqddzYY0Sd,https://p.scdn.co/mp3-preview/1799cf995c741bbf11d5fb2859d4d199264ed80f?cid=774b29d4f13844c495f206cafdad9c86
9/1/18,14:30,youtube,honey sweet,blossoms,blossoms,n/a,spotify:track:4D2rEIyYw0meeh8AOXqfxK,https://p.scdn.co/mp3-preview/76123f789b8cc49739e0121f953cfa9bafb2a96a?cid=774b29d4f13844c495f206cafdad9c86
9/1/18,16:00,n/a,n/a,n/a,n/a,n/a,,
9/1/18,17:30,youtube,super far,lany,lany,n/a,spotify:track:15ahYSiHAIMxAnujlXVtta,https://p.scdn.co/mp3-preview/3c310532ed352df2da0fc56f2a4f210a746b5a50?cid=774b29d4f13844c495f206cafdad9c86
9/1/18,19:00,youtube,the sea,swim deep,where the heaven are we,n/a,spotify:track:44EIdCt3zxRHgzEY1vXe8h,https://p.scdn.co/mp3-preview/9cab970a4eb50a891f53e90c1317d9c453d58f28?cid=774b29d4f13844c495f206cafdad9c86
9/1/18,20:30,youtube,outside,catfish and the bottlemen,the ride,n/a,spotify:track:1DOHxFeHLy4k8BQ2IFnLFn,https://p.scdn.co/mp3-preview/0d563d17c03fbb600f85a173976c0849d8a651bd?cid=774b29d4f13844c495f206cafdad9c86
9/1/18,22:00,spotify,remembering sunday,all time low,"so wrong, it's right",n/a,spotify:track:5wfy4RalC2K42QXlltpxJE,https://p.scdn.co/mp3-preview/c5b203d461901632474734965cc235166428cae4?cid=774b29d4f13844c495f206cafdad9c86
9/2/18,8:30 ,n/a,n/a,n/a,n/a,n/a,,
9/2/18,10:00 ,n/a,n/a,n/a,n/a,n/a,,
9/2/18,11:30 ,n/a,n/a,n/a,n/a,n/a,,
9/2/18,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/2/18,14:30,spotify,charlemagne,blossoms,blossoms,n/a,spotify:track:7H5WVBQdSnJ1zmu8JoD6pg,https://p.scdn.co/mp3-preview/f7eb47055da327557d4fcae81b09557c2029dff8?cid=774b29d4f13844c495f206cafdad9c86
9/2/18,16:00,spotify,glasgow ,catfish and the bottlemen,the ride,n/a,spotify:track:28VT0090inPlN6bfxoVdmB,https://p.scdn.co/mp3-preview/35fa7d6e9a717f37a1093bee6c289528ae6b51e8?cid=774b29d4f13844c495f206cafdad9c86
9/2/18,17:30,spotify,vivienne,sundara karma,youth is only ever fun in retrospect,n/a,spotify:track:5JQ8uujkHJccCdHMIMjJEr,https://p.scdn.co/mp3-preview/621ef404d6e0b390cc04a5b4e7253e7ac6bf2edb?cid=774b29d4f13844c495f206cafdad9c86
9/2/18,19:00,n/a,n/a,n/a,n/a,n/a,,
9/2/18,20:30,n/a,n/a,n/a,n/a,n/a,,
9/2/18,22:00,n/a,n/a,n/a,n/a,n/a,,
9/3/18,8:30 ,n/a,n/a,n/a,n/a,n/a,,
9/3/18,10:00 ,youtube,nico and the niners,twenty one pilots ,trench,n/a,spotify:track:0yPvg34RGS7KNns790QsxR,https://p.scdn.co/mp3-preview/68f0ee687aa4830c067eb90bb404961af459f530?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,11:30 ,youtube,read my mind ft. catfish and the bottlemen's van mccann,the killers,sam's town,"live at benicàssim festival, spain, 7/20/18",spotify:track:7cX4PJz1old9fyFI8RlfgW,https://p.scdn.co/mp3-preview/c9143ec820b227566143a7aa4a393f37d7d0d127?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,13:00 ,youtube,glasgow ,catfish and the bottlemen,the ride,"live at summer sessions, glasgow, 8/25/18",spotify:track:28VT0090inPlN6bfxoVdmB,https://p.scdn.co/mp3-preview/35fa7d6e9a717f37a1093bee6c289528ae6b51e8?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,14:30,youtube,getaway,blossoms,blossoms,n/a,spotify:track:28xNkIiTuxsWr4DYld4jno,https://p.scdn.co/mp3-preview/d66e79cbe28a705b3262b4762e6b71d2081a3787?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,16:00,youtube,kiss,pale waves,my mind makes noises,n/a,spotify:track:4OwRzEWdmnxEb5I3AADbNo,https://p.scdn.co/mp3-preview/2ae710b8e0ad78a75711ceea78097b9a92067d1d?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,17:30,youtube,why'd you only call me when you're high?,arctic monkeys,am,n/a,spotify:track:086myS9r57YsLbJpU0TgK9,https://p.scdn.co/mp3-preview/ac66e2c979d55dea341bfdd15e88783ece8a378d?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,19:00,youtube,getting along,the magic gang,the magic gang,"live at reading festival, reading, 8/25/18",spotify:track:1QkzFkSZuQOef8iLeA1uth,https://p.scdn.co/mp3-preview/c67d02fe0817af8234a590e9f136e99952757eee?cid=774b29d4f13844c495f206cafdad9c86
9/3/18,20:30,youtube,four out of five ,arctic monkeys ,tranquility base hotel and casino ,n/a,spotify:track:3nhzPKCm2yqGmgEhdAg19u,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=774b29d4f13844c495f206cafdad9c86
